KEIO STE ID,Status,Safecast ID,Sensor Type,Inspector SN,Feed ID,Feed (Pachube/Safecast),Device ID,Type,Firmware Version,nGeigie ID,Inuse,,Location,Latitude,Longitude,Height(m),Indoor/Outdoor,Action needed,,,,,,,,,,,,,,,,,,,,,,
#0026,,,Inspector Alert,A01928,34582,http://www.pachube.com/feeds/34582,KEIOSTE43,WiFi,1/20/12,,Yes,10/9/11,"Iwaki2, Softbank",140.936156,0.9,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#027,,,Inspector Alert,A03515,37135,http://www.pachube.com/feeds/37135,KEIOSTE30,WiFi,1/20/12,,Yes,11/29/11,"Motomiya, Softbank",140.397471,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#028,,,Inspector Alert,A01753,34585,http://www.pachube.com/feeds/34585,KEIOSTE34,WiFi,11/18/11,,Yes,11/28/11,"Soma, Softbank",140.928227,0.6,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#029,,,Inspector Alert,A01754,34586,http://www.pachube.com/feeds/34586,KEIOSTE35,WiFi,1/20/12,,Yes,9/21/11,"Fukushima3, Softbank",140.47323,1.2,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#030,,,Inspector Alert,A01755,34588,http://www.pachube.com/feeds/34588,KEIOSTE36,/w AP,11/25/11,,Yes,9/21/11,"Fukushima4, Softbank",140.465628,0.8,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#031,,,Inspector Alert,A01756,34976,http://www.pachube.com/feeds/34976,KEIOSTE37,WiFi,11/25/11,,Yes,12/8/11,"Orient Park Asaka, Softbank",140.349124,0.9,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0032,,,Inspector Alert,A03515,34977,http://www.pachube.com/feeds/34977,KEIOSTE61,WiFi,1/20/12,,Yes,12/9/11,"KoriyamaTomita, Softbank",37.417508,140.362558,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#033,stopped,,Inspector Alert,A01758,34978,http://www.pachube.com/feeds/34978,KEIOSTE39,WiFi,11/25/11,,Yes,12/9/11,"Iwaki3, Softbank",0.7,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,
#0034,,,Inspector Alert,A03113,34979,http://www.pachube.com/feeds/34979,KEIOSTE232,WiFi,1/20/12,,Yes,12/4/11,"Koriyama1, Softbank",140.3818303,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0035,,,Inspector Alert,A01757,34980,http://www.pachube.com/feeds/34980,KEIOSTE38,WiFi,1/20/12,,Yes,12/1/11,"Sukagawa1, Softbank",140.3816294,0.8,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#036,,,Inspector Alert,A01927,34985,http://www.pachube.com/feeds/34985,KEIOSTE42,WiFi,11/25/11,,Yes,12/1/11,"FukushimaIshikawa, Softbank",0.9,Indoor,,,y,,,,,,,,,,,,,,,,,,,,,,
#0037,,,Inspector Alert,A03764,34984,http://www.pachube.com/feeds/34984,KEIOSTE73,WiFi,1/20/12,,Yes,12/2/11,"Kakuda, Softbank",37.981393,140.784087,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0038,,,Inspector Alert,A01926,35179,http://www.pachube.com/feeds/35179,KEIOSTE41,WiFi,1/20/12,,Yes,12/26/11,"Yabuki, Softbank",140.3307734,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0039,,,Inspector Alert,,35180,http://www.pachube.com/feeds/35180,KEIOSTE99,WiFI,1/20/12,,Yes,12/2/11,"Watari, Softbank",140.8534084,0.8,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0040,,,Inspector Alert,A03787,35181,http://www.pachube.com/feeds/35181,KEIOSTE74,WiFi,1/20/12,,Yes,12/1/11,"Shiroishi, Softbank",140.632291,0.8,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0041,,,Inspector Alert,A03561,38687,http://www.pachube.com/feeds/38687,KEIOSTE63,WiFi,1/20/12,,Yes,12/2/11,"Shirakawa1, Softbank",140.192292,0.95,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#042,,,Inspector Alert,A01748,35178,http://www.pachube.com/feeds/35178,KEIOSTE29,WiFi,1/20/12,,,2/17/12,"TsuchiuraMinami, Softbank",0.8,Indoor,,1F,y,,,,,,,,,,,,,,,,,,,,,,
#043,,,Inspector Alert,A01967,35184,http://www.pachube.com/feeds/35184,KEIOSTE49,WiFi,1/20/12,,,2/21/12,"Narisawa, Softbank",140.314067,0.85,Indoor,,1F,,,,,,,,,,,,,,,,,,,,,,
#0044,,,Inspector Alert,A01924,37089,http://www.pachube.com/feeds/37089,KEIOSTE40,WiFi,1/20/12,,Yes,12/1/11,"Aizu1, Softbank",139.9249105,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#045,,,Inspector Alert,A03425,37090,http://www.pachube.com/feeds/37090,KEIOSTE51,WiFi,1/20/12,,instock,2/1/12,"Urawa, Softbank",,,,,,,,,,,,,,,,,,,,,,,,,,,
#047,,,Inspector Alert,A03528,37092,http://www.pachube.com/feeds/37092,KEIOSTE53,WiFi,11/25/11,,Yes,12/9/11,"Koharada, Softbank",140.385176,0.95,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0048,,,Inspector Alert,A01982,37093,http://www.pachube.com/feeds/37093,KEIOSTE57,WiFi,1/20/12,,shipped,12/12/11,"Kaguike, Softbank",37.377515,140.374547,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#049,,,Inspector Alert,A03543,37094,http://www.pachube.com/feeds/37094,KEIOSTE55,WiFi,11/25/11,,Yes,12/8/11,"Toramaru, Softbank",140.373763,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#050,,,Inspector Alert,A03547,37130,http://www.pachube.com/feeds/37130,KEIOSTE56,WiFi,11/25/11,,Yes,12/7/11,"Ankohdori, Softbank",37.392746,140.354384,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0051,,,Inspector Alert,A03370,37132,http://www.pachube.com/feeds/37132,KEIOSTE189,WiFi,1/20/12,,shipped,12/9/11,"Kuroiso, Softbank",140.036506,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0052,,,Inspector Alert,A03074,37133,http://www.pachube.com/feeds/37133,KEIOSTE238,WiFi,1/20/12,,Yes,12/7/11,"Matsuegakuen, Softbank",133.071153,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#053,,,Inspector Alert,A03555,37134,http://www.pachube.com/feeds/37134,KEIOSTE60,WiFi,11/25/11,,shipped,12/17/11,"Yaita, Softbank",36.806753,139.935789,0.8,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#0054,,,Inspector Alert,A01965,38685,http://www.pachube.com/feeds/38685,KEIOSTE47,WiFi,1/20/12,,shipped,12/21/11,"Tsukidate, Softbank",141.016633,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#0055,,,Inspector Alert,A01962,38687,http://www.pachube.com/feeds/38687,KEIOSTE46,WiFi,1/20/12,,Yes,12/8/11,"Noda, Softbank",140.450189,0.6,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#056,,,Inspector Alert,A03562,38689,http://www.pachube.com/feeds/38689,KEIOSTE65,WiFi,11/25/11,,shipped,12/24/11,"Minami-sanriku, Softbank",141.46353,0,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#057,,,Inspector Alert,A03575,38690,http://www.pachube.com/feeds/38690,KEIOSTE66,WiFi,11/25/11,,shipped,12/21/11,"Okawahara, Softbank",0,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,
#058,,,Inspector Alert,A03579,38691,http://www.pachube.com/feeds/38691,KEIOSTE67,WiFi,11/25/11,,Yes,12/21/11,"Iwanuma, Softbank",140.875187,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#059,,,Inspector Alert,A03697,38694,http://www.pachube.com/feeds/38694,KEIOSTE70,WiFi,11/25/11,,shipped,12/27/11,"SukagawaInter, Softbank",140.361203,0.7,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#060,,,Inspector Alert,A03698,38695,http://www.pachube.com/feeds/38695,KEIOSTE71,WiFi,11/25/11,,shipped,12/22/11,"Shin-Shirakawa, Softbank",37.117102,140.195733,0.9,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#061,,,Inspector Alert,A03710,38696,http://www.pachube.com/feeds/38696,KEIOSTE72,WiFi,11/25/11,,Yes,12/21/11,"Tokai, Softbank",36.471882,140.548092,0.84,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#062,,,Inspector Alert,A02207,38886,http://www.pachube.com/feeds/38886,KEIOSTE75,WiFi,11/25/11,,shipped,12/21/11,"Yoshinari, Softbank",38.289533,140.820595,0.5,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#063,,#0074,Inspector Alert,A01742,38885,http://www.pachube.com/feeds/38885,KEIOSTE24,WiFi,11/25/11,#009,shipped,12/22/11,"Narita, Softbank",35.795139,140.314014,1.5,Indoor,,,,,,,,,,,,,,,,,,,,,,,
#064,,,Inspector Alert,A01751,38697,http://www.pachube.com/feeds/38697,KEIOSTE32,WiFi,11/25/11,,shipped,12/14/11,"Ushiku, Softbank",140.151627,1,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
#065,,,Inspector Alert,A02213,42004,http://www.pachube.com/feeds/42004,KEIOSTE77,WiFi,12/23/11,,Yes,12/28/11,"Wakkanai, Softbank",141.689534,0.7,Indoor,,,,,,,,,,,,,,,,,,,,,,,,
